t,t+1,delta,tokenized_data
104530444288,104532541440,2097152,2097152
104532541440,104526249984,-6291456,-6291456
104526249984,104528347136,2097152,2097152
104528347136,104522055680,-6291456,-6291456
104522055680,104524152832,2097152,2097152
104524152832,104517861376,-6291456,-6291456
104517861376,104519958528,2097152,2097152
104519958528,104513667072,-6291456,-6291456
104513667072,104515764224,2097152,2097152
104515764224,104509472768,-6291456,-6291456
104509472768,104511569920,2097152,2097152
104511569920,104505278464,-6291456,-6291456
104505278464,104507375616,2097152,2097152
104507375616,104501084160,-6291456,-6291456
104501084160,104503181312,2097152,2097152
104503181312,104496889856,-6291456,-6291456
104496889856,104498987008,2097152,2097152
104498987008,104492695552,-6291456,-6291456
104492695552,104494792704,2097152,2097152
104494792704,104488501248,-6291456,-6291456
104488501248,104490598400,2097152,2097152
104490598400,104484306944,-6291456,-6291456
104484306944,104486404096,2097152,2097152
104486404096,104480112640,-6291456,-6291456
104480112640,104482209792,2097152,2097152
104482209792,104475918336,-6291456,-6291456
104475918336,104478015488,2097152,2097152
104478015488,104471724032,-6291456,-6291456
104471724032,104473821184,2097152,2097152
104473821184,104467529728,-6291456,-6291456
104467529728,104469626880,2097152,2097152
104469626880,104463335424,-6291456,-6291456
104463335424,104465432576,2097152,2097152
104465432576,104459141120,-6291456,-6291456
104459141120,104461238272,2097152,2097152
104461238272,104454946816,-6291456,-6291456
104454946816,104457043968,2097152,2097152
104457043968,104450752512,-6291456,-6291456
104450752512,104452849664,2097152,2097152
104452849664,104446558208,-6291456,-6291456
104446558208,104448655360,2097152,2097152
104448655360,104442363904,-6291456,-6291456
104442363904,104444461056,2097152,2097152
104444461056,104438169600,-6291456,-6291456
104438169600,104440266752,2097152,2097152
104440266752,104433975296,-6291456,-6291456
104433975296,104436072448,2097152,2097152
104436072448,104429780992,-6291456,-6291456
104429780992,104431878144,2097152,2097152
104431878144,104425586688,-6291456,-6291456
104425586688,104427683840,2097152,2097152
104427683840,104421392384,-6291456,-6291456
104421392384,104423489536,2097152,2097152
104423489536,104417198080,-6291456,-6291456
104417198080,104419295232,2097152,2097152
104419295232,104413003776,-6291456,-6291456
104413003776,104415100928,2097152,2097152
